session_id,unique_events,unique_from_states,unique_to_states,unique_sources,n_events
20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,"app_resumed, destination_arrived, destination_changed, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","Arrived, ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, NoDestination, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",350
20260916_105908_789_V3_GPS_TO_VPS_NORMAL_DEV_3545,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",18
20260916_111342_063_V5_GPS_TO_VPS_NORMAL_DEV_9203,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",13
20260916_105151_652_V2_GPS_TO_VPS_NORMAL_DEV_8534,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",20
20260916_103717_378_BT_GPS_TO_VPS_NORMAL_DEV_6790,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",19
20260916_110625_926_V4_GPS_TO_VPS_NORMAL_DEV_7591,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",18
20260916_104434_515_V1_GPS_TO_VPS_NORMAL_DEV_3432,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",33
20260916_103000_241_BQ_GPS_TO_VPS_NORMAL_DEV_9871,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",21
20260916_080625_926_V4_GPS_TO_VPS_NORMAL_DEV_2725,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",23
20260916_075151_652_V2_GPS_TO_VPS_NORMAL_DEV_6790,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",20
